disease,disease name,Description,Treatmenting
allergie,ພູມແພ້ (Allergy),"ພູມແພ້ ເກີດຂຶ້ນເມື່ອລະບົບພູມຄຸ້ມກັນຂອງຄົນເຮົາມີປະຕິກິລິຍາຕໍ່ສານແປກປະຫຼາດ ເຊັ່ນ: ເກສອນດອກໄມ້, ພິດຂອງເຜິ້ງ ຫຼື ຂີ້ສັດ, ຝຸ່ນ, ສານທີພິດຕ່າງໆ ຫຼື   ອາຫານຈຳພວກ ໄຂ່, ປາ, ນົມ, ຖົ່ວ... ; ທ່ານອາດຈະແນວໂນ້ມທີ່ຈະເປັນພູມແພ້ໄດ້ ຖ້າຫາກຄົນໃນຄອບຄົວເປັນຫອບຫືດ ຫຼື ພູມແພ້. ໂດຍອາການຂອງພູມແພ້ຈະມີ: ໄອ, ຈາມ, ແພ້, ຄັດດັງ, ມີຜົດຜື່ນແດງ, ຄັນຕາມຕົນໂຕ ຫຼື ອາດຈະແພ້ຮຸນແຮງຈົນເຮັດໃຫ້ມີອາການຖອກທ້ອງ, ແໜ້ນໜ້າເອິກ, ຫາຍໃຈບໍ່ອອກ, ຮາກ ເປັນຕົ້ນ.","ການຮັກສາພູມແພ້ໂດຍຫຼັກໆແລ້ວ ຈະແບ່ງເປັນ 3 ວິທີຄື: ການຮັກສາໂດຍການກິນຢາແກ້ແພ້, ການຮັກສາໂດຍການສັກວັກຊີນພູມແພ້ ແລະ ການຮັກສາໂດຍການປ່ຽນແປງພຶດຕິກຳຂອງຕົນເອງ ເປັນຕົ້ນແມ່ນການຫຼີກລ່ຽງສິ່ງທີ່ຈະເຮັດໃຫ້ຕົນເອງເກີດອາການແພ້."
pneumonia,ພະຍາດປອດອັກເສບ (Pneumonia),"ພະຍາດປອດອັກເສບ ເກີດຂຶ້ນເມື່ອລະບົບພູມຄຸ້ມກັນອ່ອນແອ ປ່ອຍໃຫ້ເຊື້ອພະຍາດບາງຊະນິດເຂົ້າສູ່ປອດ ແລະ ເກີດການຕິດເຊື້ອລຸກລາມ; ປັດໃຈທີ່ຈະເຮັດໃຫ້ທ່ານສ່ຽງເປັນພະຍາດປອດອັກເສບແມ່ນ ມີພະຍາດປະຈຳໂຕເຊັ່ນ: ພະຍາດເບົາຫວານ, ພະຍາດໄຕ ຕັບແຂງ, ສູບຢາ, ມີລະບົບພູມຄຸ້ມກັນອ່ອນແອ. ຜູ້ທີ່ເປັນພະຍາດປອດອັກເສບມີອາການທີ່ແຕກຕ່າງກັນໄປຄື: ເຈັບໜ້າເອິກເວລາຫາຍໃຈ ຫຼື ເວລາໄອ, ມີຂີ້ກະເທີ່, ເມື່ອຍ, ຫາຍໃຈຖີ່, ໜາວສັ່ນ, ໄຂ້, ຫາຍໃຈຫອບ, ປວດຮາກ ເປັນຕົ້ນ.","ແພດມັກຈະເລືອກວິທີການປິ່ນປົວທີ່ສຸ່ມໃສ່ການປິ່ນປົວການຕິດເຊື້ອ ແລະ ການປ້ອງກັນອາການແຊກຊ້ອນ ເຊິ່ງທາງເລືອກໃນການປິ່ນປົວອາດຈະປະກອບມີ: ການນຳໃຊ້ຢາຕ້ານເຊື້ອ, ການນຳໃຊ້ຢາລະລາຍຂີ້ກະເທີ່ ຊ່ວຍຫຼຸດອາການໄອ ແລະ ການໃຊ້ຢາລົດໄຂ້/ຢາແກ້ປວດ."
migraine,ໄມເກຣນ (Migraine),"ໄມເກຣນ (Migraine) ເປັນອາການເຈັບຫົວທີ່ເຮັດໃຫ້ເກີດການເຈັບຫົວຮຸນແຮງ ຫຼື ຄວາມຮູ້ສຶກປວດຕຸບໆເປັນຈັງຫວະເຕັ້ນ, ໂດຍປົກກະຕິເເລ້ວແມ່ນຢູ່ຂ້າງໜຶ່ງຂອງຫົວ ແລະ ມັກພົບກັບອາການອື່ນໆອີກເຊັ່ນ: ປວດຮາກ, ຮາກ ແລະ ພາວະຄວາມອ່ອນໄຫວຕໍ່ແສງ ສຽງ ກິ່ນ; ອາການເຈັບຂອງ Migraine ອາດຈະເກີດຂຶ້ນຫຼາຍຊົ່ວໂມງ ຫຼື ຫຼາຍມື້ ແລະ ອາການເຈັບອາດຮ້າຍແຮງຫຼາຍຈົນລົບກວນການເຄື່ອນໄຫວປະຈຳວັນຂອງທ່ານ. ສາເຫດຂອງການເປັນ Migraine ສ່ວນຫຼາຍມັກພົບຈາກ ຄວາມຄຽວສະສົມ, ການນອນຫຼັບທີ່ປ່ຽນແປງໄປ, ປັດໄຈສິ່ງແວດລ້ອມ, ກົນໄກທາງກຳມະພັນ ແລະມັກພົບໃນເພດຍິງຫຼາຍກວ່າເພດຊາຍ ເນື່ອງຈາກການກະຕຸ້ນການປ່ຽນແປງຂອງຮໍໂມນ.",ວິທີການປິ່ນປົວ Migraine ມັກຈະອີງໃສ່ຢາເປັນຕົວຊ່ວຍ ເຊິ່ງເເບ່ງອອກເປັນ 2 ປະເພດຕາມຈຸດປະສົງຂອງການປິ່ນປົວຄື: ໃຫ້ຢາແກ້ປວດ ແລະ ໃຫ້ຢາເືພ່ອປ້ອງກັນອາກາານຂອງພະຍາດ
diarrhea,ຖອກທ້ອງ (Diarrhea),"ຖອກທ້ອງ ແມ່ນມີອາການຖ່າຍເຫຼວ ຫຼື ຖ່າຍເປັນນ້ຳ ເປັນການເຄື່ອນໄຫວຂອງລຳໄສ້ເລື້ອຍໆເຊິ່ງເປັນບັນຫາທົ່ວໄປ ແລະມັກຈະເກີດຈາກການຕິດເຊື້ອແບັກທີເຣັຍ, ໄວຣັສ ຫຼື ແມ່ກາຝາກ ທີປະປົນຢູ່ໃນອາຫານ. ໂດຍທົ່ວໄປແລ້ວອາການຖອກທ້ອງຈະເປັນຕ້ັງແຕ່ 2ຄັ້ງຂຶ້ນໄປພາຍໃນ 24ຊົ່ວໂມງ ແລະຈະເຊົາເອງພາຍໃນ 2-3ມື້, ແຕ່ຖ້າມີອາການຖອກທ້ອງເປັນເວລາຫຼາຍກວ່າ 2-3ມື້ ຫຼືເປັນອາທິດ ແມ່ນຈະໝາຍຄວາມວ່າມີບັນຫາອື່ນເຊັ່ນ: ພະຍາດລຳໄສ້ອັກເສບ(IBS) ເປັນຕົ້ນ. ອາການທີກ່ຽວຂ້ອງກັບການຖອກທ້ອງມີ: ເຈັບທ້ອງ, ເຈັບທ້ອງບິດ, ປວດຮາກ,ຣາກ, ຖ່າຍເປັນນ້ຳ,  ເຈັບຫົວ, ມີໄຂ້, ຖ່າຍເປັນເລືອດ...","ຖອກທ້ອງ ສາມາດປິ່ນປົວໄດ້ໂດຍການໃຊ້ຢາທີ່ໃຊ້ໃນຄົວເຮືອນທົ່ວໄປເຊັ່ນ: ຝຸ່ນຖ່ານ ຫຼື ຜົງແຮ່ ORS ແຕ່ຖ້າຖອກທ້ອງຢ່າງຕໍ່ເນື່ອງຫຼາຍກວ່າ 2-3ມື້, ມີອາການໄຂ້ສູງ ແລະ ມີເລືອກປົນຢູ່ໃນອາຈົມ ທ່ານຄວນໄປຫາໝໍທັນທີ ເພື່ອກວດເບິ່ງສາເຫດຂອງພະຍາດຖອກທ້ອງຢ່າງລະອຽດ"
pharyngitis,ຄໍອັກເສບ (Pharyngitis),"ຄໍອັກເສບ ເປັນພາວະທີ່ເກີດຂຶ້ນພາຍໃນຄໍ ຫຼື ບໍລິເວນໃກ້ຄຽງເຊັ່ນ: ໂຄນຂອງລີ້ນ, ເພດານປາກ, ຕ່ອມtonsils ເປັນບາດແຜ ຫຼືອັກເສບ. ອາການເຈັບຄໍສ່ວນຫຼາຍແມ່ນເກີດຈາກການຕິດເຊື້ອໄວຣັດ ຫຼື ແບັກທີເຣັຍ ພະຍາດນີ້ມັກຈະພົບເຫັນຫຼາຍໃນຊ່ວງອາກາດເຢັນ ຄືຊ່ວງລະດູຝົນ ແລະ ລະດູໜາວ ຍ້ອນວ່າອຸນຫະພູມໃນລະຫວ່າງລະດູການເຫຼົ່ານີ້ແມ່ນເໝາະສົມສຳລັບການແຜ່ກະຈາຍຂອງໄວຣັສ. ຜູ້ທີເປັນພະຍາດນີ້ມັກຈະມີອາການຕ່າງໆເຊັ່ນ: ເຈັບຄໍ, ມີອາການຄັນຄໍ, ມີຄວາມຫຍຸ້ງຍາກໃນການກືນອາຫານ, ຄໍແດງ, ໄອ, ເມື່ອຍ, ປວດກ້າມເນື້ອ, ໜາວສັ່ນ, ໄອຫອດ, ວິນຫົວ ເປັນຕົ້ນ.","ການປິ່ນປົວເບື້ອງຕົ້ນແມ່ນກິນຢາແກ້ປວດເພື່ອບັນເທົາອາການປວດ, ພັກຜ່ອນໃຫ້ພຽງພໍ, ບ້ວນລ້າງປາກລ້າງລຳຄໍດ້ວຍນ້ຳເກືອ, ດື່ມນ້ຳໃຫ້ຫຼາຍໆ ເປັນຕົ້ນແມ່ນນ້ຳອຸ່ນ....."
GERD,ພະຍາດກົດໄຫຼຍ້ອນ (GERD),"ພະຍາດກົດໄຫຼຍ້ອນ ເປັນພາວະທີ່ກົດໃນກະເພາະອາຫານໄຫຼກັບຂຶ້ນໄປໃນທໍ່ທີ່ເຊື່ອມລະຫວ່າງປາກ ແລະ ກະເພາະອາຫານຊຳ້ໆ ຈົນເຮັດໃຫ້ເກີດການອັກເສບຂອງຫຼອດອາຫານ, ມີອາການປວດແສບປວດຮ້ອນບໍລິເວນໜ້າເອິກຕະຫຼອດ, ມີອາການຈຸກສຽດແໜ້ນຄ້າຍຄືກັບອາຫານບໍ່ຍ່ອຍ, ປວດຮາກ, ມີນຳ້ລົດຊາດສົ້ມໄຫຼຍ້ອນຂຶ້ນມາໃນປາກ, ກືນອາຫານລຳບາກ ເປັນຕົ້ນ. ສາເຫດຂອງພະຍາດນີ້ແມ່ນມາຈາກພຶດຕິກຳໃນຊີວິດປະຈຳວັນຂອງຄົນເຮົາເຊັ່ນ: ກິນເຂົ້າແລ້ວນອນເລີຍ, ກິນອາຫານໃນປະລິມານທີ່ຫຼາຍເກີນໄປໃນມື້ດຽວ, ດື່ມນ້ຳອັດລົມ ຫຼື Alcohol ຫຼາຍເກີນໄປ, ສູບຢາ ເປັນຕົ້ນ. ","ການປັບປ່ຽນພຶດຕິກຳໃນການໃຊ້ຊີວິດອາດຈະຊ່ວຍບັນເທົາອາການໃຫ້ດີຂຶ້ນໄດ້ເຊັ່ນ: ຮັບປະທານອາຫານໃນປະລິມານທີພໍດີ, ຄວບຄຸມນຳ້ໜັກໃຫ້ຢູ່ໃນເກນປົກກະຕິ ແລະ ບໍ່ຄວນນອນທັນທີຫຼັງຮັບປະທານອາຫານແລ້ວ. ນອກຈາກນີ້, ຜູ້ປ່ວຍບາງຄົນກໍຈຳເປັນຕ້ອງໃຊ້ຢາຮ່ວມໄປນຳ ແຕ່ຕ້ອງໃຊ້ພາຍໃຕ້ການຊີ້ນຳຂອງແພດໝໍ ເພາະວ່າໝໍຈະພິຈາລະນາປະເພດຢາຕາມຄວາມເໝາະສົມ."
fever,ໄຂ້ (Fever),"ໄຂ້ ແມ່ນອາການທີອຸນຫະພູມຮ່າງກາຍທີ່ເພີ່ມຂຶ້ນຫຼາຍກວ່າປົກກະຕິ, ໂດຍທົ່ວໄປອຸນຫະພູມຂອງຮ່າງກາຍຂອງຄົນເຮົາຈະຢູ່ທີປະມານ 37ອົງສາ ແຕ່ຜູ້ມີໄຂ້ອຸນຫະພູມຮ່າງກາຍຈະສູງກວ່າ 38ອົງສາ, ມີອາການເມື່ອຍ, ປວດໂຕ, ຫາຍໃຈບໍ່ສະດວກ, ເບື່ອອາຫານ, ໜາວສັ່ນ ເປັນຕົ້ນ.  ອາດຈະເກີດຈາກຫຼາຍປັດໄຈທີ່ກະຕຸ້ນໃຫ້ເກີດໄຂ້ໄດ້ເຊັ່ນ: ການຕິດເຊື້ອ, ພູມຄຸ້ມກັນໃນຮ່າງກາຍຫຼຸດລົງ, ມີພະຍາດກ່ຽວກັບການອັກເສບ, ການຕາກແດດໃນເວລາດົນເກີນໄປ ຫຼື ອາຫານເປັນພິດ.","ໃນເບື້ອງຕົ້ນແພດຈະບໍ່ສັ່ງໃຫ້ຄົນເຈັບທີ່ເປັນໄຂ້ລະດັບຕຳ່ໃຫ້ໃຊ້ຢາຫຼຸດໄຂ້, ເນື່ອງຈາກວ່າມັນອາດຈະເຮັດໃຫ້ການວິນິດໄສມີຄວາມຫຍຸ້ງຍາກຫຼາຍ ເພາະວ່າອາການຖືກສະກັດກັ້ນໂດຍຢາຕ້ານໄຂ້. ຖ້າຄົນເຈັບມີອາການໄຂ້ສູງ ທໍແພດກໍຈະແນະນຳໃຫ້ໃຊ້ຢາ Paracetamol ຫຼື Ibuprofen ເພື່ອຫຼຸດຜ່ອນອາການໄຂ້. "
nephritis,ພະຍາດໝາກໄຂ່ຫຼັງອັກເສບ (Nephritis),"ໝາກໄຂ່ຫຼັງອັກເສບ ແມ່ນການອັກເສບຂອງເສັ້ນເລືອດຂອງໝາກໄຂ່ຫຼັງ(Glomeruli) ເຊິ່ງປົກກະຕິຈະເຮັດໜ້າທີ່ກັ່ນຕອງນຳ້ຫຼືສິ່ງເສດເຫຼືອຈາກກະແສເລືອດເຂົ້າໄປໃນປັດສະວະ. ໝາກໄຂ່ຫຼັງອັກເສບສາມາດເປັນພະຍາດໃນຕົວຂອງມັນເອງ, ແຕ່ໃນບາງກໍລະນີ ອາດຈະເປັນຜົນມາຈາກພະຍາດອື່ນໆເຊັ່ນ: ພະຍາດພຸ່ມໄມ້ ແລະ ພະຍາດເບົາຫວານ. ໝາກໄຂ່ຫຼັງອັກເສບເກີດຂຶ້ນໄດ້ຈາກຫຼາຍສາເຫດ ອາດຈະເປັນຜົນມາຈາກກຳມະພັນ ຫຼືບາງຄັ້ງອາດຈະບໍ່ມີສາເຫດທີ່ຊັດເຈນ. ໂດຍມີອາການດັ່ງນີ້: ເຈັບແອວ, ເບື່ອອາຫານ, ນຳ້ໜັກເພີ່ມຂຶ້ນ, ເມື່ອຍ, ຕາບວມ, ຍ່ຽວເປັນເລືອດ, ຕົນໂຕບວມ ເປັນຕົ້ນ.","ໃນການປິ່ນປົວເບື້ອງຕົ້ນ ຜູ້ປ່ວຍຕ້ອງໄດ້ມີການປັບປ່ຽນພຶດຕິກຳການກິນອາຫານ ເຊິ່ງຈະຊ່ວຍຄວບຄຸມຄວາມດັນເລືອດໃຫ້ຢູ່ໃນລະດັບປົກກະຕິ, ຫຼີກເວັ້ນອາຫານລົດເຄັມ ລົດເຜັດ ຫຼື ຫຼີກລ່ຽງການດື່ມເຄື່ອງດື່ມທີມີໂພແທດຊຽມຫຼາຍ. ໃນຂະນະດຽວກັນ, ຜູ້ທີສູບຢາຄວນງົດ ຫຼື ເຊົາສູບຢາ ເນື່ອງຈາກວ່າການຢຸດເຊົາການສູບຢາສາມາດຊ່ວຍຫຼຸດການຂະຫຍາຍຕົວຂອງພະຍາດທີ່ເກີດຈາກາການອັກເສບຂອງໝາກໄຂ່ຫຼັງ ຊ່ວຍຫຼຸດຜ່ອນຄວາມສ່ຽງຂອງອາການແຊກຊ້ອນເຊັ່ນ: ພະຍາດຫົວໃຈ."
dengue fever,ໄຂ້ເລືອດອອກ (Dengue Fever),"ໄຂ້ເລືອດອອກເປັນພະຍາດທີ່ມີຍຸງເປັນພາຫະນະ, ມີສາເຫດເກີດຈາກການຕິດເຊື້ອໄວຮັສ Dengue (Dengue vieusG DENV) 1 ໃນ 4 ສາຍພັນໄດ້ແກ່: DENV-1, DENV-2, DENV-3, DENV-4 ຜ່ານການກັດຂອງຍຸງລາຍບ້ານ ຫຼືຍຸງໂຕເພດແມ່, ເປັນສັດທີ່ເປັນພະຍາດ ມັກຈະອອກລິດໃນເວລາກາງເວັນ. ເມື່ອຄົນເຮົາຖືກຍຸງກັດ ເຊື້ອໄວຣັສໄຂ້ເລືອດອອກຈະແຜ່ເຂົ້າສູ່ກະເເສເລືອດຂອງຜູ້ຖືກກັດ ເຮັດໃຫ້ເກີດການຕິດເຊື້ອທີ່ເຮັດໃຫ້ເກີດພະຍາດໄຂ້ເລືອດອອກພາຍໃນ 3-15ມື້ ໂດຍຈະມີອາການດັ່ງນີ້: ເຈັບຄໍ, ໜາວສັ່ນ, ໄຂ້ສູງ,ປວດຮາກ, ໄອ, ເບື່ອອາຫານ, ເຈັບຫົວ, ປວດຕົນໂຕ, ປວດບໍລິເວນຕາ, ຮາກ, ມີຜື່ນ ຫຼືຈ້ຳເລືອດ ເປັນຕົ້ນ.","ໃນການປິ່ິ່ນປົວເບື້ອງຕົ້ນແມ່ນ ກິນຢາແກ້ປວດ, ຢາຫຼຸດໄຂ້ກຸ່ມຢາພາຣາເຊຕາໂມນ ຫຼື ອາເຊຕາມີໂນເຟນ, (ຫ້າມກິນຢາ ແອດສະໄພລິນດ ອິບູໂປຼເຟນ ຫຼື ຢາຕ້ານການອັກເສບທີ່ບໍ່ແມ່ນ Steroidal (NSAIDs)ຍ້ອນວ່າພວກນີ້ອາດຈະເຮັດໃຫ້ເລືອດໄຫຼອອກມາຫຼາຍຂຶ້ນ), ດື່ມນ້ຳແຮ່ທາດ ORS ເພື່ອຊົດເຊິຍການສູນເສຍນ້ຳໃນຮ່າງກາຍ ໂດຍສະເພາະຜູ້ທີມີອາການຮາກຢ່າງຕໍ່ເນື່ອງ, ເຊັດຕົນໂຕດ້ວຍນ້ຳອຸ່ນເປັນໄລຍະ ເພື່ອຫຼຸດຜ່ອນອຸນຫະພູມຮ່າງກາຍ. ແຕ່ຖ້າມີອາການໄຂ້ສູງແລະບໍ່ຕອບສະໜອງກັບຢາປິ່ນປົວ ກໍຄວານໄປພົບແພດທັນທີ. "
influenza,ໄຂ້ຫວັດໃຫຍ່ (Influenza),"ໄຂ້ຫວັດໃຫຍ່ ເປັນພະຍາດທີ່ຕິດເຊື້ອໄວຣັສໃນລະບົບທາງເດີນຫາຍໃຈ ລວມທັງດັງ, ແລະປອດ, ມັນເປັນສາຍພັນທີ່ເເຕກຕ່າງກັນຈາກເຊື້ອໄວຣັສທີ່ເຮັດໃຫ້ເກີດພະຍາດຕິດເຊື້ອໄວຣັສກະເພາະອາຫານ ເຊິ່ງເຮັດໃຫ້ເກີດອາການຖອກທ້ອງ ແລະ ຮາກ. ໂດຍປົກກະຕິ ຄົນເຈັບທີ່ເປັນໄຂ້ຫວັດໃຫຍ່ສາມາດຟື້ນຕົວດ້ວຍຕົນເອງ ແຕ່ບາງຄັ້ງອາການແຊກຊ້ອນອາດຈະເຮັດໃຫ້ເສຍຊີວິດ. ໂດຍມີອາການດັ່ງນີ້: ມີໄຂ້, ໜາວສັ່ນ, ມີເຫື່ອອອກ, ເຈັບຫົວ, ປວດກ້າມເນື້ອ, ເຈັບຄໍ, ໄອແຫ້ງ, ປວດຕາ, ມີນຳ້ມູກ, ຈາມ, ຫາຍໃຈຖີ່, ຖອກທ້ອງ, ຮາກ ເປັນຕົ້ນ.","ການປິ່່ນປົວໄຂ້ຫວັດໃຫຍ່ ແມ່ນເລີ່ມຈາກການພັກຜ່ອນແລະດື່ມນຳ້ໃຫ້ຫຼາຍໆ ຊາວຍບັນເທົາອາການໄຂ້ຫວັດໃຫຍ່ ຫາກຜູ້ປ່ວຍມີຄວາມສ່ຽງຕໍ່ການແຊກແຊງຂອລພະຍາດອື່ນ ຫຼື ການຕິດເຊື້ອຮ້າຍແຮງ ອາດຈະຕ້ອງໄດ້ໃຊ້ຢາຕ້ານໄວຣັສ. ໃນດ້ານການປ້ອງກັນການຕິດເຊື້ອແມ່ນຕ້ອງລ້າງມືດ້ວຍສະບູ່ເປັນປະຈຳ ຫຼື ເຈວ Alcohol, ບໍ່ສຳຜັດຕາ ດັງ ປາກ, ເມື່ອຈາມ ຫຼືໄອ ຄວນຈາມ ຫຼືໄອໃສ່ຂໍ້ສອກ ຫຼືເຈ້ຍ ເປັນຕົ້ນ."
